Subpoblaci?,Motivaci?,Enero2010,Febrero2010,Marzo2010,Abril2010,Mayo2010,Junio2010,Julio2010,Agosto2010,Septiembre2010,Octubre2010,Noviembre2010,Diciembre2010,Total2010,Enero2011,Febrero2011,Marzo2011,Abril2011,Mayo2011,Junio2011,Julio2011,Agosto2011,Septiembre2011,Octubre2011,Noviembre2011,Diciembre2011,Total2011,Enero2012,Febrero2012,Marzo2012,Abril2012,Mayo2012,Junio2012,Julio2012,Agosto2012,Septiembre2012,Octubre2012,Noviembre2012,Diciembre2012,Total2012,Enero2013,Febrero2013,Marzo2013,Abril2013,Mayo2013,Junio2013,Julio2013,Agosto2013,Septiembre2013,Octubre2013,Noviembre2013,Diciembre2013,Total2013,Enero2014,Febrero2014,Marzo2014,Abril2014,Mayo2014
No residentes nacionales,Asistencia a eventos,13538,19581,25212,14967,19623,17748,23417,23170,25921,26670,38973,20824,269642,16359,22989,27343,18817,21727,21375,25864,18843,17091,17064,34218,15491,257182,11593,11220,22899,10623,13445,21917,13315,19310,26255,24938,44010,18153,237678,9800,11151,21430,28188,28359,24524,24199,39314,40366,31396,44565,49430,352722,14609,22476,26425,36101,38587
No residentes nacionales,Recreaci? vacaciones,301559,95820,103555,154200,123339,114591,217360,160358,104308,189411,244258,189523,1998283,362364,113815,117117,197209,139790,146293,221323,174691,113673,197980,265193,194034,2243482,291238,95783,112443,221681,127863,176884,265679,209984,141762,232672,320951,224860,2421800,294169,97087,164307,209102,138420,163663,297060,75138,71964,166716,149155,79598,1906379,84870,70163,53431,88254,46504
No residentes nacionales,Negocios Trabajo,440007,539929,584114,603978,563294,597427,548460,626571,597072,632450,661470,574205,6968978,527269,642079,670726,774791,644017,765746,587033,667330,641664,663812,715536,570627,7870630,525181,639949,666590,865449,596626,831639,681335,750660,794451,703923,832350,602117,8490270,527920,656456,629826,802772,626416,826741,703622,262801,226585,171050,201153,160978,5796320,149150,195469,275691,256718,275991
No residentes nacionales,Servicios M?icos,73409,111625,125297,108385,105493,120998,83745,130353,122088,130180,99407,84195,1295176,88135,133958,141792,143686,119099,156398,124293,156991,145615,141310,116256,92496,1560029,107488,149383,160593,173777,127754,184372,167796,175202,162102,149232,146560,105947,1810206,102734,147191,132758,151390,136634,184493,123010,71939,85289,92750,73584,58710,1360482,77012,86628,132250,92983,113632
No residentes nacionales,Visita a familiares y/o amigos,435011,231528,268300,305135,326593,254485,373094,329864,239351,347007,315329,394728,3820426,526046,279199,294568,408677,355961,319882,354805,329272,263104,355677,334306,380732,4202229,461822,257765,250141,421702,282756,277212,370060,385818,304365,379089,375717,411272,4177719,422486,250931,245550,361611,334746,279284,396245,234421,151386,178548,152585,273232,3281025,265337,178855,264095,268122,259332
No residentes nacionales,Otros motivos,43127,44532,48921,35857,50336,38024,20818,25542,28274,42749,38376,263285,679841,51947,53203,53258,47115,56178,46821,59358,60842,64733,85138,65705,81594,725892,70254,88338,95193,91157,88211,71852,52209,67628,83537,80213,82503,83604,954699,70663,84345,40119,62040,57826,77746,26796,36854,48187,40950,53156,47426,646108,29246,50073,52382,71078,95501
No residentes internacionales,Asistencia a eventos,1729,5151,4954,2133,3367,2500,2528,4125,1879,6775,2829,3215,41185,2079,5787,5238,2508,3831,2857,5045,3399,1446,4681,3332,2736,42939,1218,1249,1550,4299,1737,3420,1838,1935,2300,3793,3191,1262,27792,514,1393,754,4111,5076,1975,1349,6314,4965,10812,3941,1922,43126,2333,4079,1812,9576,2459
No residentes internacionales,Recreaci? vacaciones,33238,33317,27314,17250,15280,15311,33109,30339,18205,18721,17988,22439,282510,40006,38490,29637,20705,17302,17555,40344,25044,14194,15310,15195,18419,292201,33638,30708,27992,30519,20665,22935,28159,36855,23266,17063,20179,30185,322164,42521,32965,55617,25991,24530,23338,29368,52089,34551,30301,31041,31230,413542,28746,34541,33809,37231,29427
No residentes internacionales,Negocios Trabajo,12386,19407,20698,13450,16634,16519,21356,22009,22075,21423,23999,21753,231709,14919,21783,21993,15814,18921,18706,33496,23168,21219,28250,26516,14873,259658,13961,24972,26275,20416,24188,14801,18681,15269,21614,29954,24924,24071,259126,11003,27884,17661,23115,38852,23641,16712,26673,30500,29955,22721,18605,287322,29490,25972,18321,25889,26597
No residentes internacionales,Servicios M?icos,1041,1640,1573,1416,1362,1582,1681,1438,1819,1031,1676,2984,19243,1246,1838,1663,1665,1550,1791,1417,552,1656,432,1172,1029,16012,1054,2581,648,1029,1120,2149,428,442,1559,1724,1385,46,14165,1514,2899,1524,619,621,537,972,2066,985,928,1539,493,14697,1496,1073,4938,1954,2227
No residentes internacionales,Visita a familiares y/o amigos,25295,19941,15266,17166,15626,11162,23806,27918,20182,23297,14709,23556,237924,30436,22690,16192,20596,17741,12800,29845,37136,16026,10778,17542,21942,253725,43921,19265,23109,22400,19450,18523,22367,19118,18009,14091,15987,24257,260497,45516,20893,19621,19850,13547,19072,29217,38501,21528,20004,17909,23315,288973,28623,20980,33947,28019,22935
No residentes internacionales,Otros motivos,1482,1321,1478,764,982,1218,973,679,686,1662,571,45932,57748,1784,1480,1546,898,1118,1379,1586,2121,1875,2814,1464,1367,19433,373,1000,2050,1016,2757,1973,939,1305,4080,2188,1856,2010,21547,959,930,1311,1546,1687,2043,910,2652,1743,2459,1649,1755,19644,1896,2284,2873,3406,2569
